#Freq       VP(4)      VP(6)     
 4.5709E+3 -145.52     91.121    
 4.6774E+3 -146.19     91.084    
 4.7863E+3 -146.85     91.047    
 4.8978E+3 -147.51     91.01     
 5.0119E+3 -148.17     90.974    
 5.1286E+3 -148.82     90.939    
 5.2481E+3 -149.47     90.904    
 5.3703E+3 -150.11     90.869    
 5.4954E+3 -150.75     90.835    
 5.6234E+3 -151.38     90.802    
 5.7544E+3 -152.       90.769    
 5.8884E+3 -152.63     90.736    
 6.0256E+3 -153.24     90.703    
 6.166E+3  -153.85     90.671    
 6.3096E+3 -154.46     90.64     
 6.4565E+3 -155.06     90.609    
 6.6069E+3 -155.65     90.578    
 6.7608E+3 -156.24     90.547    
 6.9183E+3 -156.82     90.517    
 7.0795E+3 -157.4      90.487    
 7.2444E+3 -157.97     90.457    
 7.4131E+3 -158.53     90.427    
 7.5858E+3 -159.09     90.398    
 7.7625E+3 -159.64     90.369    
 7.9433E+3 -160.18     90.34     
 8.1283E+3 -160.72     90.311    
 8.3176E+3 -161.26     90.282    
 8.5114E+3 -161.78     90.254    
 8.7096E+3 -162.31     90.225    
 8.9125E+3 -162.82     90.197    
 9.1201E+3 -163.33     90.169    
 9.3325E+3 -163.84     90.141    
 9.5499E+3 -164.33     90.113    
 9.7724E+3 -164.83     90.085    
 10.E+3    -165.32     90.057    
 10.233E+3 -165.8      90.03     
 10.471E+3 -166.28     90.002    
 10.715E+3 -166.75     89.974    
 10.965E+3 -167.22     89.946    
 11.22E+3  -167.68     89.918    
 11.482E+3 -168.14     89.891    
 11.749E+3 -168.59     89.863    
 12.023E+3 -169.04     89.835    
 12.303E+3 -169.49     89.807    
 12.589E+3 -169.93     89.778    
 12.882E+3 -170.36     89.75     
 13.183E+3 -170.8      89.722    
 13.49E+3  -171.22     89.693    
 13.804E+3 -171.65     89.664    
 14.125E+3 -172.07     89.635    
 14.454E+3 -172.49     89.606    
 14.791E+3 -172.91     89.577    
 15.136E+3 -173.32     89.547    
 15.488E+3 -173.73     89.518    
